,post
120,"#staysafe tayo during ecq/mecq

because ecq in ncr (aug 6-20) and mecq in laguna (aug 1-15):

1. no disconnection for ncr and laguna during ecq/mecq.
2. We are ready to help 24/7 via our online channels for any questions or concerns. payment terms can also be discussed if needed.
3. We prioritize your safety and convenience. to avoid queues and inconvenience once ecq/ mecq is lifted, check our updated business center (bc) operating hours. #staysafe and #stayhome by paying your bills online via our authorized payment partners: http://www.meralco.com.ph/paymentoptions

let's all be careful. we will continue to do our best to continue the light and hope in this time of pandemic.

(source: meralco)"
121,"see: covid-19 mass vaccination continues today, july 22nd in manila city.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first twelve vaccinations of those belonging to the a1, a2, a3, a4, and a5 priority groups will be conducted in six lgu hospitals.

at the same time, there will also be a first dose vaccination for those belonging to the a2 and a3 priority groups which will be held at four mall sites.

members of the a2 priority group who were first vaccinated on May 13, 2021 will also receive their second dose of astrazeneca. it will be held at 18 school sites in the city.

there is also a second dose vaccination of sinovac for deped-manila teachers and employees who were first vaccinated on june 22-23 at universidad de manila. their second dose vaccination will be held at the san andres sports complex.

for all vaccinators, please show your printed waiver form or qr code for verification.

Also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site.

#alertomanileno #covid19ph"
122,"news alert: mayor isko: manila's covid-19 response faster than crisis

manila city mayor francisco 'isko moreno' domagoso said that the city government has been one step ahead in mitigating the effect of the pandemic in the nation's capital.

domagoso said during his third state of the city address that vaccination plan of the local government has been created even before the spike of covid-19 cases in the country.

according to domagoso, as early as january 5, the manila city government has already signed a contract for the procurement of 800,000 doses of astrazeneca vaccines and an agreement for the 400,000 doses of sinovac was inked on april 28.

simulation exercises were also held in the city's district hospitals in order to train its medical frontliners ahead of the actual vaccination that started in march.

with this, the government was able to effectively execute a mass vaccination in its 22 covid-19 vaccination sites across the six districts while also conducting a home service vaccination for bedridden patients. a covid-19 vaccine passport was also made available online for those who have been inoculated.

hiring of additional doctors, nurses, and medical technicians were also made to strengthen the healthcare sector amid the covid-19 pandemic.

""vaccination should be faster than infection. vaccination is the solution,"" domagoso said, noting that more 600,000 individuals have already received their first dose of vaccine while about 250,000 have already been fully vaccinated.

it could also be noted that the city government was able to build the manila covid-19 field hospital ahead of its 60-day target schedule.

according domagoso, the 344-bed capacity hospital was made in order to decongest the six district hospitals and be able to return to its full function and be able to cater other health concerns.

""ang maynila ay nagpatuloy na maghanda, nangarap. katulad ng mga nabigkas ko na, kung kaya ng india, kung kaya ng italya, kaya rin ng pilipinas lalo na ang lungosd ng maynila,"" domagoso said.

""we have to be ahead of the situation. our capacity should always be ahead of the numbers of infection,"" he added.

the covid-19 vaccine storage facility and molecular testing laboratory were likewise constructed at the sta. ana hospital as the government also augmented two sets of rt-pcr testing machines and one cartridge based 16-placer machine at the said hospital.

the following were also procured to increase the capability of the six district hospitals: eight mobile digital x-ray machines, digital x-ray machines, three abbott serology laboratory testing machines, high-flow oxygenator, powered air purifying respirator (papr), mechanical ventilator, saturation machines, hepa purifier, personal protective equipment, ct scan 128-slice, and hybrid assistive limb – hal for physical therapy.

on top of this, new regiment medicines such as remdesivir and avigan, as well as tocilizumab, was made available to the public for free. the city government has also appropriated about p250 million for the procurement of pfizer and astrazeneca vaccines.

""alam natin na walang silbi ang apat na sulok ng silid kung walang gamot,"" domagoso said.

the mayor also noted that with the help of the free rt-pcr test being conducted by the city government to the public, detection of the covid-19 virus has been made easier.

""mga kababayan, yan ang patuloy na pagtupad ng aming mga pangako,"" domagoso said.

#alertomanileno #bagongmaynila"
123,"opening of new sta. there is a hospital dialysis center!

#bagongmaynila"
124,"see: covid-19 mass vaccination continues today, july 27th in manila city.

Important note for everyone:

vaccinations will be held until 7pm. we encourage everyone to head to our vaccination sites at other times to avoid congestion. we want to ensure your safety.

the first dose vaccination of those belonging to the a2 and a3 priority groups will be conducted at the university of santo tomas gymnasium.

for all vaccinators, please show your printed waiver form or qr code for verification.

Also bring your ID and don't forget to follow the minimum health protocols when it comes to the vaccination site.

#alertomanileno #covid19ph"
125,"business alert: robinsons place manila announced on saturday, july 24, that it is waiving its overnight parking amid the inclement weather.

the mall management said that its mall hours will be until 9pm while its supermarket will be at 10pm.

free charging of cellphones, gadgets, and rechargeable lamps, as well as free connection to the mall's wifi may be availed by its customers.

#alertomanileno"
126,"congratulations, team manila!

here is the vaccination data of our city as of today, July 29 at 8pm. 1,283,702 vaccine doses have already been injected into our countrymen under the leadership of the manila health department.

You can also see here the breakdown of 10,709 doses of the vaccine deployed this Thursday. 96.48% of those scheduled to be given the second dose received it.

more good news folks-the total number of vaccines deployed in the city has reached 263,775 in just ten days!

let's work together towards the ultimate suppression of covid-19 children manila! Thank you so much for your continued participation in our #vaccinenation campaign. 🙏🏼

manila, god first! ☝️ —mayor isko moreno domagoso"
127,"see: here is the situation at various vaccination sites in the city of manila today, the 16th of july.

it is in the midst of the simultaneous first and second dose vaccination of the manila health department at mall sites, lgu hospital sites, and san andres sports complex.

some reminders to vaccinators:

until 7pm today’s vaccination encourages everyone to head to vaccination sites at other times to avoid congestion. we want to ensure your safety.

please bring your qr code for verification and don't forget to follow the health protocols when it comes to the vaccination site.

don’t forget to follow health protocols when it comes to the vaccination site.

#alertomanileno #covid19ph"
128,"public service announcement: our four mall vaccination sites will no longer accept individuals to be vaccinated today, July 26.

this is after up to 1,000 people came to lucky chinatown, robinsons place manila, sm manila, and sm san lazaro this morning to be vaccinated with the first dose.

thank you very much for your understanding.

#alertomanileno #covid19ph"
129,"we can say that the governance of our city is in the right and orderly direction, a reason for us to feel the return of confidence in us by individuals, corporations, and organizations from various sectors of society.

maria sheilah ‘honey’ lacuna-food
vice mayor, city of manila
on the government's effort in regaining the public's trust"
130,"mga batang maynila, narito po ang proseso ng aplikasyon para sa mga nagnanais na maging boluntaryo sa ating gagawing 24/7 na bakunahan.

ang kagawaran ng kalusugan ng maynila ay nanangangailangan ng mga sumusunod:

—doktor (doctor)
—nars (nurse)
—dentista (dentist)
—komadrona (midwife)
—medical technologist
—parmasyutiko (pharmacist)
—iba pang propesyunal ng allied health (all other allied health professionals)
—gradweyt ng kolehiyo o mag-aaral ng kolehiyo na maalam sa paggamit ng kompyuter (college graduates or college students who are computer-literate)
—iba pa (others)

kontakin po muna ang alinman sa mga numerong ito: 09951069524 (globe) o 09606040771 (smart) kasama ang inyong pangalan at propesyon na ina-aplayan.

maghintay po ng text mula sa aming tanggapan, at i-download at i-fill out ang application form gamit na ito (https://drive.google.com/drive/folders/19frdzldjtegnykpvplt4ga6jo1rgqwlt?usp=sharing) na inyo naman pong dadalhin sa inyong orientation.

magtulong-tulong po tayo, mga batang maynila upang mapugsa natin ang salot na covid-19.

maynila, diyos ang una! —mayor isko moreno domagoso"
131,"public service announcement: robinsons place manila will no longer accept individuals to be vaccinated this morning, july 25.

this is after a sufficient number of people arrive in their malls who want to be vaccinated by the first dose.

thank you very much for your understanding.

#alertomanileno #covid19ph"
132,"look: the veterinary inspection board (vib) — in conjunction with the city government of manila — participated in the community pantry efforts of san miguel foods corporation (smfc).

the smfc community pantry was set up inside malls. it operated from 4 p.m. to 6 p.m. at sm manila and sm san lazaro from july 16 to july 17. the community pantry had ""free pet check-up"" and ""free anti-rabies vaccine"" stations. naturally, the vib special enforcement squad members and manila city pound personnel were in charge of these.

vib chief dr. nicanor santos jr. led the team at sm manila, while dr. noriel led the team at sm san lazaro.

here is the tally of the dogs and cats that they examined and vaccinated:

sm manila
july 16: 46 dogs and 14 cats
july 17: 145 dogs and 25 cats
total: 191 dogs and 39 cats

sm san lazaro
july 16: 82 dogs and 7 cats
july 17: 185 dogs and 12 cats
total: 267 dogs and 19 cats

overall total: 458 dogs and 58 cats

in line with this, the vib and the manila city pound remain relentless in the ""zero-rabies manila"" campaign. they continue to urge pet owners to have their dogs and cats vaccinated against rabies.

#alertomanileno
#onevib"
133,"ang pagtugon sa pandemya ay hindi lamang track, test, treat, mayroong pang-apat na mahalaga na “t”, ito ang tulong because covid kills by hunger too. its most dangerous comorbidity is poverty.

francisco 'isko moreno' domagoso
mayor, city of manila
on the government's effort amid covid-19 pandemic"
134,"look: manila city mayor francisco ‘isko moreno’ domagoso led the groundbreaking ceremony for the redevelopment and construction of the new 10-storey manila science high school.

vice mayor ma. sheilah ‘honey’ lacuna pangan joined domagoso on monday, july 26 for the groundbreaking of the new school.

""today we are going to achieve, two years from now, the perennial problem in our public education system in terms of space, not only in manila but also in the entire country,"" domagoso said.

""we build. we vaccinate. we provide jobs. we provide food, money in our mga lolo't lola, estudyante, and so on and so forth. ito ang inaasahan ng taumbayan sa kanyang pamahalaan,"" the mayor added.

the construction of the new manila science high school is in line with the local government’s plan to modernize the public education sector in the nation's capital.

(photos by christian turingan/mpio)

#bagongmaynila"
135,"congratulations, team manila!

narito po ang vaccination data ng ating lungsod as of today, july 26 at 8pm. pumalo na po sa 1,240,588 vaccine doses ang naiturok na sa ating mga kababayan sa pangunguna manila health department.

matutunghayan din po ninyo rito ang breakdown ng 22,872 doses ng bakunang na-deploy ngayong araw ng lunes.

sama-sama tayo tungo sa tuluyang pagsugpo sa covid-19 mga batang maynila! maraming salamat po sa inyong patuloy na pakikiisa sa ating #vaccinenation campaign. 🙏🏼

manila, god first! ☝️ —mayor isko moreno domagoso"
136,"congratulations, team manila!

narito po ang vaccination data ng ating lungsod as of today, july 19, at 6pm. umabot na po sa 1,019,618 vaccine doses ang naiturok na sa ating mga kababayan sa pangunguna manila health department.

tuloy-tuloy lang po tayo hanggang mapagtagumpayan natin ang pandemyang ito.

manila, god first! ☝️ —mayor isko moreno domagoso"
137,"look: manila disaster and risk reduction management office (mdrrmo) and manila health department (mhd) personnel — who make up the team manila lgu — inspected divisoria mall on tuesday, july 13. the mall is just one of several places that they inspected today.

this inspection is done to ensure that the establishment is following the minimum public health standards (mphs) mandated by the covid-19 inter-agency task force (iatf) for the management of emerging infectious diseases. a safety seal is issued to those who meet all the requirements.

the mdrrmo and mhd personnel will continue to conduct daily inspections of various establishments in the city of manila.

#alertomanileno"
138,"tingnan: nagpapatuloy ngayong araw, july 13, ang covid-19 mass vaccination sa lungsod ng maynila.

mahalagang paalala po para sa lahat:

idaraos po ang pagbabakuna hanggang 7pm. hinihikayat namin ang lahat na magtungo sa ating vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. nais po naming matiyak ang kaligtasan ninyo.

makatatanggap ng kanilang second dose ng sinovac ang mga kabilang sa a2 at a4 priority groups na una nang nabakunahan noong june 15. idaraos ito sa apat na mall sites.

kasabay nito ay mayroon ding second dose vaccination ng pfizer ang mga kabilang sa a5 priority group na una nang nabakunahan noong june 22. isasagawa po ito sa anim na community sites.

para sa lahat ng magpapabakuna, ipakita lamang po ang inyong printed waiver form o qr code para sa verification.

dalhin din ang inyong id at huwag kalimutan ang pagsunod sa minimum health protocols pagdating sa vaccination site.

#alertomanileno #covid19ph"
139,"ang bagong manila science high school!

redevelopment and construction of the new 10-storey manila science high school, handog para sa bawat batang maynila.

groundbreaking ceremony led by yorme isko and vice mayor honey.

#bagongmaynila"
140,"groundbreaking ceremony para sa itatayong bagong dr. alejandro albert elementary school sa sampaloc

#bagongmaynila"
141,"tingnan: narito ang kasalukuyang sitwasyon sa iba't ibang vaccination sites sa lungsod ng maynila ngayong araw, ika-13 ng hulyo.

ito'y sa gitna po ng ating magkakasabay na second dose vaccination sa mall at community sites.

ilang paalala sa mga magpapabakuna:

hanggang 7pm ang bakunahan ngayong araw hinihikayat ang lahat na magtungo sa vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. nais po naming matiyak ang kaligtasan ninyo.

dalhin o qr code para sa verification at huwag pong kalimutang sumunod sa health protocols pagdating sa vaccination site.

huwag kalimutan ang pagsunod sa health protocols pagdating sa vaccination site.

#alertomanileno #covid19ph"
142,"congratulations, team manila!

narito po ang vaccination data ng ating lungsod as of today, july 24 at 9pm. pumalo na po sa 1,194,182 vaccine doses ang naiturok na sa ating mga kababayan sa pangunguna manila health department.

matutunghayan din po ninyo rito ang breakdown ng 37,134 doses ng bakunang na-deploy ngayong araw ng sabado.

sama-sama tayo tungo sa tuluyang pagsugpo sa covid-19 mga batang maynila! maraming salamat po sa inyong patuloy na pakikiisa sa ating #vaccinenation campaign. 🙏🏼

manila, god first! ☝️ —mayor isko moreno domagoso"
143,"congratulations, team manila!

narito po ang vaccination data ng ating lungsod as of today, july 25 at 8pm. pumalo na po sa 1,217,701 vaccine doses ang naiturok na sa ating mga kababayan sa pangunguna manila health department.

matutunghayan din po ninyo rito ang breakdown ng 23,515 doses ng bakunang na-deploy ngayong araw ng sabado.

sama-sama tayo tungo sa tuluyang pagsugpo sa covid-19 mga batang maynila! maraming salamat po sa inyong patuloy na pakikiisa sa ating #vaccinenation campaign. 🙏🏼

manila, god first! ☝️ —mayor isko moreno domagoso"
144,"congratulations, team manila!

narito po ang vaccination data ng ating lungsod as of today, july 23 at 9pm. pumalo na po sa 1,157,017 vaccine doses ang naiturok na sa ating mga kababayan sa pangunguna manila health department.

matutunghayan din po ninyo rito ang breakdown ng 30,190 doses ng bakunang na-deploy ngayong araw ng huwebes. nasa 94.66% naman po sa mga nakatakdang mabigyan ng second dose ang tumanggap nito.

sama-sama tayo tungo sa tuluyang pagsugpo sa covid-19 mga batang maynila! maraming salamat po sa inyong patuloy na pakikiisa sa ating #vaccinenation campaign. 🙏🏼

manila, god first! ☝️ —mayor isko moreno domagoso"
145,"good morning, mga batang maynila!

nagpapatuloy po ngayong araw ng linggo, july 25, ang covid-19 mass vaccination sa lungsod.

mag-ingat po tayong lahat papunta sa ating vaccination sites. paghandaan po natin ang maulan na panahon.

mahalagang paalala po para sa lahat:

idaraos po ang pagbabakuna hanggang 7pm. hinihikayat namin ang lahat na magtungo sa ating vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. nais po naming matiyak ang kaligtasan ninyo.

hindi na rin po tatanggap ng mga magpapabakuna ang lucky chinatown mall, sm manila, at sm san lazaro matapos nitong maabot ang sapat na bilang ng mga indibidwal na tatanggap ng kanilang first dose.

isasagawa po ang first dose vaccination ng mga kabilang sa a1, a2, a3, a4, at a5 priority groups sa apat na mall sites.

kasabay nito ay mayroon ding first dose vaccination para naman sa mga kabilang sa a2 at a3 priority groups na gaganapin 18 school sites.

para po sa lahat ng magpapabakuna, ipakita lamang po ang inyong printed waiver form o qr code para sa verification.

dalhin din po ang inyong id at huwag kalimutan ang pagsunod sa minimum health protocols pagdating sa vaccination site. maraming salamat po.

manila, god first! ☝️ —mayor isko moreno domagoso"
146,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 22, 2021.

#alertomanileno #covid19ph"
147,"tingnan: nagpapatuloy ngayong araw, ika-21 ng hulyo, ang covid-19 mass vaccination sa lungsod ng maynila.

mahalagang paalala po para sa lahat:

idaraos po ang pagbabakunua hanggang 7pm. hinihikayat namin ang lahat na magtungo sa ating vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. nais po naming matiyak ang kaligtasan ninyo.

isasagawa ang first dose vaccination ng mga kabilang sa a1, a2, a3, a4, at a5 priority groups sa anim na lgu hospitals at sa san andres sports complex.

kasabay nito ay mayroon ding first dose vaccination para naman sa mga kabilang sa a2 group na gaganapin naman sa 12 school sites.

makatatanggap din ng kanilang second dose ng sinovac ang mga kabilang sa a1, a2, a3, a4, at a5 priority groups na una nang nabakunahan noong june 23, 2021. idaraos ito sa apat na mall sites at anim na school sites.

para sa lahat ng magpapabakuna, ipakita lamang po ang inyong printed waiver form o qr code para sa verification.

dalhin din ang inyong id at huwag kalimutan ang pagsunod sa minimum health protocols pagdating sa vaccination site.

#alertomanileno #covid19ph"
148,"tingnan: nagpapatuloy ngayong araw, ika-26 ng hulyo ang covid-19 mass vaccination sa lungsod ng maynila.

mahalagang paalala po para sa lahat:

idaraos po ang pagbabakuna hanggang 7pm. hinihikayat namin ang lahat na magtungo sa ating vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. nais po naming matiyak ang kaligtasan ninyo.

isasagawa ang first dose vaccination ng mga kabilang sa a1, a2, a3, a4, at a5 priority groups sa apat na mall sites.

kasabay nito ay mayroon ding first dose vaccination para naman sa mga kabilang sa a1, a2, a3, a4, at a5 priority groups na gaganapin 18 school sites.

para sa lahat ng magpapabakuna, ipakita lamang po ang inyong printed waiver form o qr code para sa verification.

dalhin din ang inyong id at huwag kalimutan ang pagsunod sa minimum health protocols pagdating sa vaccination site.

#alertomanileno #covid19ph"
149,"mga batang maynila!

narito po ang datos ng pagbabakuna sa ating lungsod hanggang ngayong araw, agosto 3 (sa ganap na ika-8 ng gabi). pumalo na po sa 1,415,181 vaccine doses ang naiturok na sa ating mga kababayan sa pangunguna kagawaran ng kalusugan ng maynila.

umabot naman sa 41,513 doses ng bakunang na-deploy ngayong araw ng linggo habang nasa 97.07% naman po sa mga nakatakdang mabigyan ng ikalawang dose ang tumanggap nito.

sama-sama tayo tungo sa tuluyang pagsugpo sa covid-19! maraming salamat po sa inyong pakikiisa sa layunin ng pamahalaang lungsod na mabakunahan ang mas marami pang mga manilenyo. 🙏🏼

manila, god first! ☝️ —mayor isko moreno domagoso"
150,"congratulations, team manila!

narito po ang vaccination data ng ating lungsod as of today, july 27 at 7pm. pumalo na po sa 1,246,482 vaccine doses ang naiturok na sa ating mga kababayan sa pangunguna manila health department.

matutunghayan din po ninyo rito ang breakdown ng 5,891 doses ng bakunang na-deploy ngayong araw ng lunes.

sama-sama tayo tungo sa tuluyang pagsugpo sa covid-19 mga batang maynila! maraming salamat po sa inyong patuloy na pakikiisa sa ating #vaccinenation campaign. 🙏🏼

manila, god first! ☝️ —mayor isko moreno domagoso"
151,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 19, 2021.

#alertomanileno #covid19ph"
152,"sa nakaraang labing dalawang buwan, hindi tayo nagpatinag sa pandemya bagkus lalo tayong nagpakatatag at kumilos ng may pagkakaisa upang tiyakin ang kaligtasan ng bawat batang maynila.

maria sheilah 'honey' lacuna-pangan
vice mayor, city of manila
on securing the lives of the public amid the covid-19 pandemic"
153,covid situation at update sa bakunahan sa lungsod ng maynila
154,"keep up the good work, team manila!

narito po ang vaccination data ng ating lungsod as of today, july 20 at 8pm. pumalo na po sa 1,063,934 vaccine doses ang naiturok na sa ating mga kababayan sa pangunguna manila health department.

matutunghayan din po ninyo rito ang breakdown ng mga bakunang na-deploy ngayong araw ng martes. nasa 96.94% naman po sa mga nakatakdang mabigyan ng second dose ng bakuna sa ngayong araw ang tumanggap nito.

tuloy-tuloy lang po tayo hanggang mapagtagumpayan natin ang pandemyang ito.

manila, god first! ☝️ —mayor isko moreno domagoso"
155,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 21, 2021.

#alertomanileno #covid19ph"
156,"look: the delivery of covid-19 food security program (fsp) boxes continues in district 4 today, wednesday, july 14.

barangay 569 zone 56 is one of the 40 district 4 barangays that already got their food boxes yesterday, tuesday, july 13.

#alertomanileno"
157,"look: dps personnel at the sta. ana elementary school once again loaded their truck with covid-19 food security program (fsp) boxes today monday, july 19. these food boxes are meant for district 6 barangays.

the fsp deliveries for the barangays in other districts have been completed. so, only district 6 barangays are waiting for their fsp allocations.

#alertomanileno"
158,"keep up the good work, team manila!

narito po ang vaccination data ng ating lungsod as of today, july 21 at 8pm. pumalo na po sa 1,097,165 vaccine doses ang naiturok na sa ating mga kababayan sa pangunguna manila health department.

matutunghayan din po ninyo rito ang breakdown ng 33,222 doses ng bakunang na-deploy ngayong araw ng miyerkules. nasa 98.21% naman po sa mga nakatakdang mabigyan ng second dose ang tumanggap nito.

another good news po, umabot na sa 1,409,497 ang kabuuang bilang ng mga nag pre-register na sa www.manilacovid19vaccine.ph.

sama-sama tayo tungo sa tuluyang pagsugpo sa covid-19 mga batang maynila!

manila, god first! ☝️ —mayor isko moreno domagoso"
159,"bantay covid-19: narito ang tala ng covid-19 sa lungsod ng maynila ngayong ika-1 ng agosto

#alertomanileno #covid19ph"
160,"tingnan: naglinis ang mga kawani ng mga pampublikong pamilihan ng wagas, pampanga, divisoria, pritil, central, dagonoy at paco ngayong araw ng lunes, ika-2 ng agosto.

#alertomanileno"
161,"tingnan: nagpapatuloy ngayong araw, ika-14 ng hulyo ang covid-19 mass vaccination sa lungsod.

mahalagang paalala po para sa lahat:

idaraos po ang pagbabakuna hanggang 7pm. hinihikayat namin ang lahat na magtungo sa ating vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. nais po naming matiyak ang kaligtasan ninyo.

makatatanggap ng kanilang second dose ng sinovac ang mga kabilang sa a2 at a4 priority groups na una nang nabakunahan noong june 16, 2021. idaraos ito sa apat na mall sites.

kasabay nito ay mayroon ding second dose vaccination ng sputnik v ang mga kabilang sa a1, a2, at a3 priority groups na una nang nabakunahan noong june 2. isasagawa po ito sa anim na lgu hospitals.

para sa lahat ng magpapabakuna, ipakita lamang po ang inyong printed waiver form o qr code para sa verification.

dalhin din ang inyong id at huwag kalimutan ang pagsunod sa minimum health protocols pagdating sa vaccination site.

#alertomanileno #covid19ph"
162,"extreme weather alert: the manila disaster risk reduction and management office (mdrrmo) monitored some flooded areas in the city of manila saturday afternoon following continuous heavy downpour.

the following are the areas with gutter deep to tire level flood

gutter deep (passable to all types of vehicles)
baseco market
taft pnu
finance road (national museum)
pnu to ayala
quirino avenue going to vito cruz
p. ocampo to roxas blvd

half tire level (not passable to light vehicles)
finance road facing burgos
un station
taft luneta
pedro gil
quirino avenue
padre faura
taft kalaw
kalaw to roxas blvd

tire level (not passable to all types of vehicles)
taft nbi

the public are highly advised to take extra precautions amid the inclement weather.

#alertomanileno"
163,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 26, 2021.

#alertomanileno #covid19ph"
164,"congratulations, team manila!

narito po ang vaccination data ng ating lungsod as of today, july 22 at 9pm. pumalo na po sa 1,126,810 vaccine doses ang naiturok na sa ating mga kababayan sa pangunguna manila health department.

matutunghayan din po ninyo rito ang breakdown ng 29,620 doses ng bakunang na-deploy ngayong araw ng huwebes. nasa 95.31% naman po sa mga nakatakdang mabigyan ng second dose ang tumanggap nito.

sama-sama tayo tungo sa tuluyang pagsugpo sa covid-19 mga batang maynila! maraming salamat po sa inyong patuloy na pakikiisa sa ating #vaccinenation campaign. 🙏🏼

manila, god first! ☝️ —mayor isko moreno domagoso"
165,alert: mayor isko moreno and vice mayor honey lacuna inspects ust vaccination site
166,"tingnan: sinimulan ng mga kawani ng mdrrmo ang misting at fogging sa barangay 580 bandang 1:05 ng hapon ngayong miyerkules, agosto 4.

kabilang ang misting at fogging sa araw-araw na ginagawang paglilinis sa kamaynilaan. istriktong ipinatutupad ng pamahalaang lungsod ito para makatulong sa pagpigil ng pagkalat ng covid-19 at iba pang sakit.

#alertomanileno"
167,"look: manila traffic and parking bureau (mtpb) personnel are seen cleaning up various areas in the city today, sunday, july 25. they picked up an assortment of garbage and debris that were left in the areas that had experienced flooding.

the department of public services (dps) is the leading unit for clean-up operations, but manila mayor francisco 'isko moreno' domagoso called on other units to help because there is so much to be done asap.

#alertomanileno"
168,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 31, 2021.

#alertomanileno #covid19ph"
169,"bantay covid-19: narito ang datos ng covid-19 sa lungsod ng maynila ngayong ika-5 ng agosto

#alertomanileno #covid19ph"
170,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 23, 2021.

#alertomanileno #covid19ph"
171,"look: the manila traffic and parking bureau (mtpb) — in cooperation with the philippine national police-highway patrol group (pnp-hpg) — conducted spot checks along moriones street in tondo today, friday, july 30.

tickets were issued to motorists who were not wearing helmets, those using unauthorized helmets, and those with expired or/crs.

#alertomanileno"
172,"tingnan: narito ang naging sitwasyon sa iba't ibang vaccination sites sa lungsod ng maynila ngayong araw, ika-22 ng hulyo.

ito'y sa gitna ng magkakasabay na first at second dose vaccination ng manila health department sa mall sites, lgu hospital sites, at san andres sports complex.

ilang paalala sa mga magpapabakuna:

hanggang 7pm ang bakunahan ngayong araw hinihikayat ang lahat na magtungo sa vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. nais po naming matiyak ang kaligtasan ninyo.

dalhin ang inyong qr code para sa verification at huwag pong kalimutang sumunod sa health protocols pagdating sa vaccination site.

huwag kalimutan ang pagsunod sa health protocols pagdating sa vaccination site.

#alertomanileno #covid19ph"
173,"bantay covid-19: narito ang datos ng covid-19 sa lungsod ng maynila ngayong ika-2 ng agosto

#alertomanileno #covid19ph"
174,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 29, 2021.

#alertomanileno #covid19ph"
175,"look: the mdrrmo team conducted a maintenance check at the gen. gregorio del pilar elementary school quarantine facility today. thursday, july 29. to recall, the school was first opened as a quarantine facility on june 11, 2020.

the regular maintenance checks on the city of manila's quarantine facilities is part of the lgu's strategy to always be prepared for the worst case scenario.

#alertomanileno"
176,"covid-19 monitoring: latest coronavirus data in the city of manila, as of july 30, 2021.

#alertomanileno #covid19ph"
177,"bantay covid-19: narito ang datos ng covid-19 sa lungsod ng maynila ngayong ika-3 ng agosto

#alertomanileno #covid19ph"
178,"tingnan: narito ang naging sitwasyon sa iba't ibang vaccination sites sa lungsod ng maynila ngayong araw ng lunes, ika-26 ng hulyo.

ito'y sa gitna ng magkakasabay na pagbabakuna ng manila health department sa mall at school sites.

ilang paalala sa mga magpapabakuna:

hanggang 7pm ang bakunahan ngayong araw hinihikayat ang lahat na magtungo sa vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. nais po naming matiyak ang kaligtasan ninyo.

dalhin ang inyong qr code para sa verification at huwag pong kalimutang sumunod sa health protocols pagdating sa vaccination site.

huwag kalimutan ang pagsunod sa health protocols pagdating sa vaccination site.

#alertomanileno #covid19ph"
179,"weather alert: the city of manila will continue to experience moderate to at times heavy rains on thursday afternoon, july 22, due to the prevailing southwest monsoon.

the manila disaster risk reduction and management office (mdrrmo) said that no flooding incident has been monitored as of 12pm despite the inclement weather.

mdrrmo added that continuous roving operations across the nation's capital will be made as part of its precautionary measures against flooding.

rubber boats and rescue equipment are also on standby in case of need of transport for stranded individuals.

#alertomanileno"
180,"tingnan: nagpapatuloy ngayong araw, ika-16 ng hulyo ang covid-19 mass vaccination sa lungsod ng maynila.

mahalagang paalala po para sa lahat:

idaraos po ang pagbabakuna hanggang 7pm. hinihikayat namin ang lahat na magtungo sa ating vaccination sites sa iba pang mga oras upang makaiwas sa siksikan. nais po naming matiyak ang kaligtasan ninyo.

makatatanggap ng kanilang second dose ng sinovac ang mga kabilang sa a2 at a4 priority groups na una nang nabakunahan noong june 18, 2021. idaraos ito sa apat na mall sites.

kasabay nito ay mayroon ding second dose vaccination ng sputnik v ang mga kabilang sa a1, a2, at a3 priority groups na una nang nabakunahan noong june 7. isasagawa po ito sa anim na lgu hospitals.

magkakaroon din ng second dose vaccination ng sputnik v vaccine para sa mga kabilang sa a4 priority group na nabakunahan noong june 8. idaraos ito sa san andres sports complex.

para sa lahat ng magpapabakuna, ipakita lamang po ang inyong printed waiver form o qr code para sa verification.

dalhin din ang inyong id at huwag kalimutan ang pagsunod sa minimum health protocols pagdating sa vaccination site.

#alertomanileno #covid19ph"
181,"public service announcement: hindi na rin po tatanggap ng mga indibidwal na magpapabakuna ang lucky chinatown mall ngayong umaga, july 25.

ito po ay matapos dumating ang sapat na bilang ng tao sa kanilang mga mall na nais na mabakunahan ng first dose.

maraming salamat po sa inyong pang-unawa.

#alertomanileno #covid19ph"
