,post
93,"president rodrigo roa duterte convenes several cabinet members to discuss important issues regarding the latest government response on the covid-19 situation amid the delta variant and other matters of national concern.

two days after his 6th and final state of the nation address (sona), president duterte continues with his weekly talk to the people on covid-19 to remind his countrymen on strictly following the minimum public health standards and being vaccinated at the soonest time to contain the further spread of the more contagious delta variant.

with the confirmed local transmission of the variant, the national government and all local government units (lgus) are in full alert to enforce stricter health and safety protocols, including expediting the mass vaccination to priority eligible groups and ensuring that all filipinos, especially in the barangay levels, are adhering to the rules set by the government to stop the virus.

#explainexplainexplain
#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange

*****

disclaimer:

presidential events live streamed by the presidential broadcast staff – radio television malacañang (rtvm) can be accessed by the public and media entities. rtvm is not responsible for any technical problems that affect the live streaming or broadcast quality re-streamed by the aforementioned parties."
94,"gilusad ang 2nd batch sa mga drug surrenderrers sa barangay kinasang-an ubos sa programa nga community-based drug rehab program sa cebu city office for substance abuse and prevention (cosap).

sa dili pa sila mopaubos sa maong programa, kinahanglan sila ipailawom una sa assist bi or alcohol smoking substance involvement screening test brief intervention nga himoon sa mga recovery coaches sa cosap."
95,"president rodrigo roa duterte witnesses the arrival of 1,124,100 doses of astrazeneca vaccines from the government of japan as the donated shipment arrives at the villamor air base in pasay city on july 8, 2021.

the president, together with officials from the embassy of japan to the philippines, national task force (ntf) against covid-19 and the inter-agency task force for the management of emerging infectious diseases (iatf-eid), views the crates containing the vaccines and inspects the actual vials in a ceremonial turnover.

the vaccine donation is part of the initiative spearheaded by the government of japan to support southeast asian countries amid the coronavirus disease 2019 (covid-19) pandemic. it forms part of several aids that japan had extended to the philippines from the onset of the pandemic.

since last year, the japanese government supported the country in its covid-19 response through the crisis response emergency loan (cresl), post-disaster standby loan phase 2 (pdsl 2), procurement of medical equipment and laboratory surveillance sites, and a grant for cold chain facility development.

as more supplies of covid-19 vaccines continue to arrive, ntf against covid-19 chief implementer secretary carlito galvez, jr. said the country is expecting 47 million doses of vaccines by the end of august from different manufacturers.

#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange"
96,"sotto natin 'to! - replay

mga ka-quaranteam!

join us and let's make another fun-filled thursday together with jaris, jumelboy, and jared.
tara na!

#vsmmc"
97,"faith sharing|| @ (tis) tomorrow is sunday, july 31 (saturday evening) at 10pm # 500yoccebu

fr. kingsley garba is from nigeria, a catholic priest from the
catholic diocese of kafanchan- kaduna, nigeria. he is in cebu since 2017 to take up medical studies in obedience to the wishes of his bishop.

come and hear his stories of faith, the nigeria and cebu versions of encounter with god and his people."
98,"diabetes awareness week

mga ka-quaranteam!

in observance of diabetes awareness week 2021, join us this afternoon as we talk about 5 myths and facts about diabetes, together with dr. consolacion cutillar.

#kaquaranteam
#sottobrandofcare
#sottosharedidentity"
99,"naghatod og 4,200 liters nga water tank ang mga personnel gikan sa department of public services nga gipangulohan ni engineer rufina a. adlawan sa ramos public market karong adlawa, hulyo 8, 2021.

dako og tabang ang maong water tank alang sa tarong nga water supply sa pampublikong merkado sa ramos aron magpabilin kini nga limpyo.

personnel from department of public services headed by engineer rufina a delivered 4,200 liters of water tank. ramos public market today, july 8, 2021.

that water tank is a great help for the proper water supply in ramos public market to keep it clean."
100,"mommy doc of vicente sotto

join us this afternoon on another episode of tatak sotto as we take a look at the life of dr. celia mabalatan and her undying service in sotto.

see you mga ka-quaranteam!

#tataksotto
#sottobrandofcare
#sottosharedidentity
#kaquaranteam"
101,"pahibalo alang sa mga taxpayers

gipahibaw sa city treasurer’s office nga karong umaabot nga martes, july 20, 2021 na ang deadline sa pagbayad sa business taxes ug uban pang bayranan alang sa third (3rd) quarter sa calendar year 2021.

mamahimong mobayad online pinaagi sa cebu city’s official website https://www.cebucity.gov.ph/ o mobisita sa satellite office sa cto nga anaa mahimutang sa 2nd floor sa sm city cebu gikan alas 10:00 am hangtod 5:00 pm, gikan lunes hangtod biyernes.

abli sab ang satellite office sa cto sa sm city cebu sa july 17, 2021 (sabado) ug july 20, 2021 (eidul adha/feast of sacrifice) aron mo-accommodate sa bayad sa mga taxpayers ug sa ilang concern."
102,"come and be blessed!!!

join us online via 500yoccebu for a night of praise and worship with bimbo,samantha, elyzza, quiano and iohanni as the faces and voices behind the songs.

amidst the crisis of the present, let us storm the heavens with prayer by way of singing. it is said that music is the language of the soul; hence, as we express our hearts out by singing, together this is our act of burning incense in worship to god.

it is with fervent hope that this offering pierces thru the clouds to reach the heavens and still be beautiful music at the pleasure of the loving god.

"
103,"live: the morning session of the 18th congress (third regular session) opens at the house of representatives (hor) in batasan hills, quezon city on july 26, 2021.

president rodrigo roa duterte is scheduled to deliver his 6th and final state of the nation address (sona) at the hor plenary hall by 4:00 in the afternoon"
104,"kapolisan mapasalamaton kang mayor edgar labella ug sa tibuok cebu city government human sa gihatag nga upat ka mga bag-ong sakyanan nga gihatag sa syudad sa cebu city police office.

police are grateful to mayor edgar labella and the whole cebu city government after giving away four new cars given to the city of cebu city police office."
105,"nakigtagbo ang mga kawani sa department of veterinary medicine and fisheries (dvmf) nga gipangulohan ni dr. jessica maribojoc kauban ang cebu city health department (cchd) ug market operations division (mod) sa mga meat ug fish dealers sa carbon public market karong adlawa, hulyo 19, 2021.

atol sa tigum, gi-representar sa taga dvmf ang mga lagda ug regulasyon kabahin sa hygienic handling of newly slaughtered meat ug sa chilled, frozen, ug thawed meat.

gihisgotan usab atol sa tigum ang pagparehistro ug paglisensya sa mga meat stakeholders ug ang bag-o nga rate sa regulatory service fee nga mo epektibo karong umaabot nga agosto 1, 2021.

staff meeting at department of veterinary medicine and fisheries (dvmf) headed by dr. jessica maribojoc with cebu city health department (cchd) and market operations division (mod) of meat and fish dealers at carbon public market today, july 19, 2021.

during the meeting, the dvmf represented the rules and regulations about the hygienic handling of newly slaughtered meat and the chilled, frozen, and thawed meat.

the registration and licensing of meat stakeholders and the new regulatory service fee rate that will be effective this coming august 1, 2021."
106,"mipahigayon og seminar ang mga kadagkoan sa cebu city disaster risk reduction management office (ccdrrmo) emergency medical services pinangulohan ni data management cluster head renzo del rosario kabahin sa responsibilidad sa mga public safety officers ngadto sa mga membro sa barangay health emergency response teams (bherts) sa mga barangay sa lusaran, cambinocot, paril tagba-o, tabunan ug pung-ol sibugay."
107,"nagpahigayon og managlaing roving ug clearing operation ang enforcement team sa market operations division (mod) sa pardo public market ug carbon public market karong adlawa, hulyo 6, 2021, nga gipangulohan ni market administrator irvin cabales ug ang head of operation dariel manliguez.

kini gipahigayon subay sa kamanduan ni cebu city mayor edgar labella nga magpabiling limpyo ug luwas ang mga kamerkaduhan dinhi sa dakbayan sa sugbo alang sa mga mamalitay ug mga manindahay.

the enforcement team in the market operations division (mod) conducted a different roving and clearing operation at pardo public market and carbon public market today, july 6, 2021, led by market administrator irvin cabales and head of operation dariel so crazy.

this was conducted according to cebu city mayor edgar labella's addiction to keep the kamerkas clean and safe here in cebu city for buyers and homeowners."
108,"pahinumdom: ania na ang guide alang sa pag-avail sa burial assistance program sa cebu city government.

youtube.com
burial assistance sa cebu city government"
109,"happy 27th anniversary, dmdp!

ang department of manpower development and placement (dmdp) nagsaulog sa ilang ika-27 nga anniversary karong adlawa, hulyo 7, 2021.

si mayor edgar labella mapasalamaton sa dmd sa ilang padayon nga pagtabang sa katawhan sa syudad pinaagi sa pag-initiate og mga livelihood trainings sa katawhan sa syudad.

lakip sa ilang kalihukan isip pagtimaan sa ilang 27th anniversary mao ang hamubo nga programa nga pangunahan sa office-in-charge sa dmdp nga si sheila may daluz. lakip sa mohatag sa iyang inspirational message si vice mayor michael rama.

human sa progam pagahimuon ang ribbon cutting sa showcase area sa mga livelihood products sa dmdp samtang sugod sa 1:00 sa hapon karong adlawa, ipahigayon usab ang virtual job fair."
110,"president rodrigo roa duterte conveys his warmest congratulations to olympic gold medalist hidilyn diaz via zoom call at the malacañang golf (malago) clubhouse in malacañang park, manila on july 28, 2021.

in a historic win, diaz became the first filipino to win the philippines its first-ever gold medal at the olympic games tokyo 2020 since the country started competing in 1924. she bested her competitors from other countries in the 55-kilogram category of the women’s weightlifting division, where china finished in second and kazakhstan came in third.

because of her triumph at the olympics, diaz is set to receive incentives and rewards both from the government and the private sector. these include php10 million cash incentive as mandated by law.

likewise, the senate committee on sports chaired by senator christopher lawrence ‘bong’ go expresses its message of support to the weightlifting champion.

prior to the tokyo olympics, she competed in the 2016 rio olympics where she bagged the silver medal, 2019 southeast asian games, and in the 2018 asian games, all in the same division.

#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange

*****"
111,"president rodrigo roa duterte meets with several cabinet members to discuss the government’s efforts against the coronavirus disease 2019 (covid-19), especially with the recent news on the spike of covid-19 cases in other countries due to the more contagious delta variant. he directs all agencies concerned to review recent policies and to implement existing protocols with greater urgency and necessity.

on matters concerning the rollout of covid-19 vaccines, the president reports that a greater number of filipinos are now willing to be inoculated against the virus. he calls on the national and local government offices to heighten their vaccine information and education campaign in order to…"
112,"president rodrigo roa duterte convenes several cabinet members to discuss the latest government response on the covid-19 situation as the national capital region (ncr) will be placed under enhanced community quarantine (ecq) from august 6-20, 2021 due to the rising number of covid-19 cases and emergence of the delta variant among these cases.

amid the stricter quarantine classification, president duterte stresses the need to ramp up the government’s vaccination efforts. with around 22 million doses of vaccines expected to arrive in august, he vows to deliver vaccines even in far-flung areas when the country receives enough doses.

during the meeting, department of public works and highways (dpwh) secretary mark villar reports the accomplishments of the build, build, build program, highlighting both the completed and ongoing flagship infrastructure programs under president duterte’s administration.

#explainexplainexplain
#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange

*****

disclaimer:

presidential events live streamed by the presidential broadcast staff – radio television malacañang (rtvm) can be accessed by the public and media entities. rtvm is not responsible for any technical problems that affect the live streaming or broadcast quality re-streamed by the aforementioned parties."
113,"mga ka-quaranteam!

join us and let's make the last thursday of june a fun-filled day together with jaris, jumelboy, and jared.

tara na!

#vsmmc"
114,"mihatag og briefing si atty. ian kenneth lucero, ang pangu sa dilg cebu city, sa pipila ka mga department heads sa cebu city government kabahin sa pipila ka mga importanting provision sa mandanas case.

atty gave a briefing. ian kenneth lucero, the pangu of dilg cebu city, among some department heads of cebu city government is part of some important provisions in mandanas case."
115,"president rodrigo roa duterte convenes several cabinet members to discuss the latest government response on the covid-19 situation as the national capital region (ncr) will be placed under enhanced community quarantine (ecq) from august 6-20, 2021 due to the rising number of covid-19 cases and emergence of the delta variant among these cases.

amid the stricter quarantine classification, president duterte stresses the need to ramp up the government’s vaccination efforts. with around 22 million doses of vaccines expected to arrive in august, he vows to deliver vaccines even in far-flung areas when the country receives enough doses.

during the meeting, department of public works and highways (dpwh) secretary mark villar reports the accomplishments of the build, build, build program, highlighting both the completed and ongoing flagship infrastructure programs under president duterte’s administration.

#explainexplainexplain
#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange

*****

disclaimer:

presidential events live streamed by the presidential broadcast staff – radio television malacañang (rtvm) can be accessed by the public and media entities. rtvm is not responsible for any technical problems that affect the live streaming or broadcast quality re-streamed by the aforementioned parties."
116,"doctor marissa is here

in observance of the diabetes awareness week, join us live as we talk about diabetes awareness with our guest expert, dr. marissa bravo-garcia vir c. batucan, medical specialist ii from the vsmmc department of internal medicine, together with our hosts dr. celia mabalatan and mr. amil fernandez opigal, and win exciting prizes!

#vsmmcdiabetes
#thedoctorishere
#sottobrandofcare
#sottosharedidentity"
117,"president rodrigo roa duterte convenes several cabinet members, including his economic managers, and medical experts to discuss the coronavirus disease 2019 (covid-19) situation in the country following confirmation on the local transmission of the delta variant and other matters of national concern.

#explainexplainexplain
#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange

*****

disclaimer:

presidential events live streamed by the presidential broadcast staff – radio television malacañang (rtvm) can be accessed by the public and media entities. rtvm is not responsible for any technical problems that affect the live streaming or broadcast quality re-streamed by the aforementioned parties."
118,"doctor marlo is here (replay)

join us live as we talk about prostate cancer with our guest expert, dr. marlo vir c. batucan, medical specialist iii from the vsmmc department of uro-surgery, together with our hosts dr. celia mabalatan and mr. amil fernandez opigal, and win exciting prizes!

#vsmmcprostatecancer
#thedoctorishere
#sottobrandofcare
#sottosharedidentity"
119,"join us for the fourth episode of the cebu city cebu city quincentennial lecture series

theme: ""kaagi ug katawhan: mga sigpat sa kaaging sugboanon ""
july 30, 2021 | 2:00pm

topic 1: ""the cebu part in the 34 milestones in the philippines""
speaker: mr. ian christopher alfonso

topic 2: ""mactan or mactang: asa man gyud?""
speaker: mr. christian junn gok-ong"
120,"doctor alvin is here

join us live as we talk about kidney failure: choosing the treatment that is right for you with our guest expert, dr. alvin g. roxas, medical specialist iii from the vsmmc transplant and vascular surgery, together with our hosts dr. celia mabalatan and mr. amil fernandez opigal, and win exciting prizes!

#vsmmckidneytransplant
#thedoctorishere
#sottobrandofcare
#sottosharedidentity"
121,"president rodrigo roa duterte visits the western mindanao command (wesmincom) in zamboanga city to honor the wounded-in-action (wia) and killed-in-action (kia) soldiers on 5 july 2021, a day after a philippine air force (paf) plane crashed in patikul village in jolo, sulu.

upon arrival, the commander-in-chief visits the camp navarro general hospital (cngh) to award the order of lapu-lapu with the rank of kampilan to the wia soldiers. thereafter, he proceeds to the naval forces for western mindanao (navforwem) and leads the symbolic conferment of the order of lapu-lapu with the rank of kalasag to the kia soldiers.

by virtue of executive order (eo) no. 35 signed on 28 july 2017, the order of lapu-lapu kampilan and kalasag medals are awarded to officials and personnel of the government, as well as private individuals, who were seriously wounded or suffered great loss of property and to those who lost their lives, in the pursuit of the president’s campaign or advocacy.

#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange"
122,"kumustahin ang sitwasyon ng mga kababayan natin sa probinsya ng cebu ngayong patuloy na kinahaharap ng bansa ang panganib na banta ng delta variant kasama si talisay city mayor samsam gullas jr.

at pederasyon ng sangguniang kabataan sa talisay city, abala sa pagsasagawa ng iba't ibang aktibidad at programa para sa kanilang komunidad.

kinig-nood kasama si pcoo secretary martin andanar.

#secmartinandanar
#martinandanar
#nbnewsph #dutertelegacy #senbonggo"
123,"today’s segment of uswag, pinas! special edition highlights the ongoing vaccination program in cebu city as the local government and medical frontliners strive to achieve population protection against the coronavirus disease 2019 (covid-19), especially with the emergence of new variants of the virus and the imposition of modified enhanced community quarantine (mecq) in the city.

derived from the bisayan term ‘uswag’ which means progress, this special edition of the social media program aims to inform viewers about the ongoing mass immunization in different communities across the nation, the tireless efforts of healthcare workers and medical frontliners in battling the public health crisis, and interviews from inoculated filipinos and medical experts on the benefits of getting the jab to further boost vaccine confidence amongst the people.

uswag, pinas! special edition is a flagship program of the presidential broadcast staff – radio television malacañang (rtvm).

#uswagpinas
#vacctonormal
#resbakuna
#jabjabjab
#jabwelldone
#goodjab"
124,"the national committee on literary arts of the national commission for culture and the arts has published a new book on cebuano literature entitled ""sugilambong: the prewar cebuano novel"" authored by dr. erlinda k. alburo.

join us in today's book launching with our esteemed panelists: dr. hope sabanpan-yu and dr. bea lastimosa of cebuano studies center, and mr. charles dominic sanchez, faculty member of the university of san carlos.

july 28, 2021 | 10:00am"
125,"president rodrigo roa duterte convenes several cabinet members to discuss important issues regarding the latest government response on the covid-19 situation amid the delta variant and other matters of national concern.

two days after his 6th and final state of the nation address (sona), president duterte continues with his weekly talk to the people on covid-19 to remind his countrymen on strictly following the minimum public health standards and being vaccinated at the soonest time to contain the further spread of the more contagious delta variant.

with the confirmed local transmission of the variant, the national government and all local government units (lgus) are in full alert to enforce stricter health and safety protocols, including expediting the mass vaccination to priority eligible groups and ensuring that all filipinos, especially in the barangay levels, are adhering to the rules set by the government to stop the virus.

#explainexplainexplain
#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange

*****

disclaimer:

presidential events live streamed by the presidential broadcast staff – radio television malacañang (rtvm) can be accessed by the public and media entities. rtvm is not responsible for any technical problems that affect the live streaming or broadcast quality re-streamed by the aforementioned parties."
126,"the presidential communications operations office (pcoo) presents the #laginghandaph public briefing, an inter-agency effort of the pcoo that brings up-to-date and detailed information about the coronavirus disease 2019 (covid-19) pandemic in the country.

the program embraces a whole-of-nation approach wherein guest resource persons answer questions on pressing issues, tackle matters of national concern and provide updates on the current public health crisis. they also discuss the efforts being undertaken by the government to mitigate the effects of covid-19, including the rollout of the vaccination program throughout the philippines."
127,"sense of hope and joyful anticipation because sunday is very near; its not just a day after today,,but a day of meeting with the risen lord, a day of conversion and renewal.

tommorw seems very close or immediate,but no one holds the key to it. only god knows what tommorw brings; so we put our trust in god.

yesterday is gone; now or today is the present experience; and when we speak of ""tommorw"", it is reality tantamount to infinity, a glimpse of what forever is. tommorow is another term for heaven, a state of oneness with god."
128,"padayon gihapon ang pag-inspeksyon ug pag-monitor sa emergency operations center (eoc)-task force sa mga nagkalain-lain nga mga establisamento dinhi sa dakbayan sa sugbo aron nga masiguro nga masunod ang mga minimum health protocols.

base sa datos gikan sa eoc- task force, moabot na sa 2,021 ang mga establisamento nga na-inspect ug 106 niini ang nakalapas sa mga health protocols samtang 14 ang na isyuhan og show cause order.

gipahibaw sab eoc task-force nga kung aduna kamo nakita nga mga establisamento nga nag-violate sa health protocols, mag padala lang og message o mo contact sa ilang number 63 947-486-1655 o 411-0100 loc. 6104."
129,"with president rodrigo roa duterte set to deliver his 6th and final state of the nation address (sona) to the filipino people at 4:00 pm, the presidential broadcast staff - radio television malacañang (rtvm) presents the ‘pamana ng pagbabago 2021: tunay na kalinga at malasakit’ from the house of representatives on july 26, 2021.

presidential communications operations office (pcoo) undersecretary and philippine information agency (pia) director-general ramon cualoping iii hosts the pre-sona program where he talks with several cabinet secretaries and government officials to discuss the major accomplishments of the administration and legacy of the chief executive throughout his six-year term, while he continues to fulfill the promise of change to the filipino nation.

#dutertesona2021
#tatagatmalasakit
#dutertelegacy"
130,"gilusad sa cebu city government pinaagi sa cebu city tourism commission (cctc) inubanan sa department of tourism central visayas (dot-7) ang american era heritage tour niadtong hulyo 4, 2021.

youtube.com
cebu city american era heritage tour"
131,15th sangguniang panlungsod annual organizational session.
132,"patas nga serbisyong may dedikasyon sa isigkaingon

join us this afternoon on another episode of tatak sotto as we take a look at the life of dr. eduardo arcenas and his undying service in sotto.

see you mga ka-quaranteam!

#tataksotto
#sottobrandofcare
#sottosharedidentity
#kaquaranteam"
133,"national cultural consciousness week | closing program and webinar on cultural mapping
speaker: prof. bernie arellano iii, university of the philippines - los baños"
134,"doctor marlo is here

join us live as we talk about prostate cancer with our guest expert, dr. marlo vir c. batucan, medical specialist iii from the vsmmc department of uro-surgery, together with our hosts dr. celia mabalatan and mr. amil fernandez opigal, and win exciting prizes!

#vsmmcprostatecancer
#thedoctorishere
#sottobrandofcare
#sottosharedidentity"
135,"president rodrigo roa duterte convenes several cabinet members to discuss the coronavirus disease 2019 (covid-19) situation in the country and other matters of national concern.

the president sends his condolences to the families of the soldiers and civilians who perished in a c-130 plane crash in sulu on 4 july 2021. he also expresses gratitude to the civilians of sulu who rushed to the crash site and tried to save as many lives as possible, as well as those individuals who generously extended assistance to the wounded and those who lost their loved ones.

with the emergence of new covid-19 variants, the chief executive stresses that the best defense against the virus is to get vaccinated as soon as possible. as more vaccine supplies continue to arrive in the country, he also urges his countrymen that aside from receiving immunization, they should continue observing health protocols in order to prevent and avoid the spread of the virus.

#explainexplainexplain
#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange

***

disclaimer:

presidential events live streamed by the presidential broadcast staff – radio television malacañang (rtvm) can be accessed by the public and media entities. rtvm is not responsible for any technical problems that affect the live streaming or broadcast quality re-streamed by the aforementioned parties."
136,"president rodrigo roa duterte meets with the executives of the partido demokratiko pilipino-lakas ng bayan (pdp-laban) and other government officials at the malacañang golf (malago) clubhouse in malacañang park, manila on july 6, 2021.

the attendees, composed of the officials present in malago and those participating via virtual conference, discuss their respective offices’ accomplishments under the leadership of the chief executive and other updates.

#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange"
137,"president rodrigo roa duterte delivers his intervention at session 2: accelerating the region’s health and economic recovery during the asia-pacific economic cooperation (apec) informal leaders’ retreat via virtual convention from new zealand on july 16, 2021.

“the philippines is concerned with increasing north-south divide between the vaccine haves and the have-nots. notwithstanding our commitment to act together, we have somehow managed to turn this crisis into an unforgiving race to immunity. we are aware that more than 80 percent of covid-19 vaccines have gone to the rich countries, leaving the rest of us in the developing world into so little to get by. the great imbalance in vaccine access needs to be rectified. vaccine nationalism must end,” president duterte said in his remarks.

he added, “we must strengthen collaboration in development, manufacturing and distribution of covid-19 vaccines. therapeutics and medical supplies, this is the most urgent given the emergencies of new variants. apec economies must resist imposing barriers to the free flow of vaccines and related essential products. we must stabilize vaccine prices to the level that make them more affordable to developing countries.”

heads of state and government (hos/g) from the 21 apec member economies are attending an additional meeting at their level for the first time in apec’s history to share information on how the region can continue to build on its collective understanding of health response to the coronavirus disease 2019 (covid-19), as well as shape a collaborative economic response.

prime minister jacinda ardern of new zealand is the apec 2021 chair and this year’s theme focuses on three (3) key points: join, work, grow. together.

prior to session 2, president duterte and his fellow apec leaders pose for the traditional leaders’ family photo, this time a simple shot of all the leaders on screen together, with the official apec 2021 virtual background.

#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange

*****"
138,"way pagduhaduha na pag alagad alang sa serbisyo publiko

join us this afternoon on another episode of tatak sotto as we take a look at the life of mr. clinton gairanod and his undying service in sotto.

see you mga ka-quaranteam!

#tataksotto
#sottobrandofcare
#sottosharedidentity
#kaquaranteam"
139,"sense of hope and joyful anticipation because sunday is very near; its not just a day after today,,but a day of meeting with the risen lord, a day of conversion and renewal.
tommorw seems very close or immediate,but no one holds the key to it. only god knows what tommorw brings; so we put our trust in god.
yesterday is gone; now or today is the present experience; and when we speak of ""tommorw"", it is reality tantamount to infinity, a glimpse of what forever is. tommorow is another term for heaven, a state of oneness with god.

#500yoccebu
#500yearsofchristianity"
140,"""in the lights of fatima"", speaker: msgr. joseph tan

#500yoccebu
#500yearsofchristianity
#500yearsofchristianityinthephilippines"
141,"sustaining the mission of the church in a culture of giving

this is yet another evening of faith sharing. in partnership with spring rain global, a private financial management office that focuses on philanthropic methods, even as their programs are designed for religious institutions and parishes. the diocese of san carlos in negros island has applied this system, and significant individuals from the same place are going to share with everyone how it helps to have a formal program to better manage our nature of giving as a church."
142,"president rodrigo roa duterte conveys his warmest congratulations to olympic gold medalist hidilyn diaz via zoom call at the malacañang golf (malago) clubhouse in malacañang park, manila on july 28, 2021.

in a historic win, diaz became the first filipino to win the philippines its first-ever gold medal at the olympic games tokyo 2020 since the country started competing in 1924. she bested her competitors from other countries in the 55-kilogram category of the women’s weightlifting division, where china finished in second and kazakhstan came in third.

because of her triumph at the olympics, diaz is set to receive incentives and rewards both from the government and the private sector. these include php10 million cash incentive as mandated by law.

likewise, the senate committee on sports chaired by senator christopher lawrence ‘bong’ go expresses its message of support to the weightlifting champion.

prior to the tokyo olympics, she competed in the 2016 rio olympics where she bagged the silver medal, 2019 southeast asian games, and in the 2018 asian games, all in the same division.

#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange

*****"
143,"the presidential communications operations office (pcoo) presents the #laginghandaph public briefing, an inter-agency effort of the pcoo that brings up-to-date and detailed information about the coronavirus disease 2019 (covid-19) pandemic in the country.

the program embraces a whole-of-nation approach wherein guest resource persons answer questions on pressing issues, tackle matters of national concern and provide updates on the current public health crisis. they also discuss the efforts being undertaken by the government to mitigate the effects of covid-19, including the rollout of the vaccination program throughout the philippines."
144,"the presidential communications operations office (pcoo) presents the #laginghandaph public briefing, an inter-agency effort of the pcoo that brings up-to-date and detailed information about the coronavirus disease 2019 (covid-19) pandemic in the country.

the program embraces a whole-of-nation approach wherein guest resource persons answer questions on pressing issues, tackle matters of national concern and provide updates on the current public health crisis. they also discuss the efforts being undertaken by the government to mitigate the effects of covid-19, including the rollout of the vaccination program throughout the philippines."
145,"mental health check - replay

building resilience in students and early career professionals during covid-19

join us live on sotto live mental health check as we talk about “building resilience in students and early career professionals during covid-19” with our guest expert, dr. glenda c. basubas from the vsmmc center for behavioral sciences, together with dr. helen valenzona madamba and mr. pierre jabagat.

#mentalhealthcheck
#sottobrandofcare
#sottosharedidentity"
146,"president rodrigo roa duterte delivers his intervention at session 2: accelerating the region’s health and economic recovery during the asia-pacific economic cooperation (apec) informal leaders’ retreat via virtual convention from new zealand on july 16, 2021.

“the philippines is concerned with increasing north-south divide between the vaccine haves and the have-nots. notwithstanding our commitment to act together, we have somehow managed to turn this crisis into an unforgiving race to immunity. we are aware that more than 80 percent of covid-19 vaccines have gone to the rich countries, leaving the rest of us in the developing world into so little to get by. the great imbalance in vaccine access needs to be rectified. vaccine nationalism must end,” president duterte said in his remarks.

he added, “we must strengthen collaboration in development, manufacturing and distribution of covid-19 vaccines. therapeutics and medical supplies, this is the most urgent given the emergencies of new variants. apec economies must resist imposing barriers to the free flow of vaccines and related essential products. we must stabilize vaccine prices to the level that make them more affordable to developing countries.”

heads of state and government (hos/g) from the 21 apec member economies are attending an additional meeting at their level for the first time in apec’s history to share information on how the region can continue to build on its collective understanding of health response to the coronavirus disease 2019 (covid-19), as well as shape a collaborative economic response.

prime minister jacinda ardern of new zealand is the apec 2021 chair and this year’s theme focuses on three (3) key points: join, work, grow. together.

prior to session 2, president duterte and his fellow apec leaders pose for the traditional leaders’ family photo, this time a simple shot of all the leaders on screen together, with the official apec 2021 virtual background.

#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange

*****"
147,"president rodrigo roa duterte meets with several cabinet members to discuss the government’s efforts against the coronavirus disease 2019 (covid-19), especially with the recent news on the spike of covid-19 cases in other countries due to the more contagious delta variant. he directs all agencies concerned to review recent policies and to implement existing protocols with greater urgency and necessity.

on matters concerning the rollout of covid-19 vaccines, the president reports that a greater number of filipinos are now willing to be inoculated against the virus. he calls on the national and local government offices to heighten their vaccine information and education campaign in order to further increase vaccine confidence among the filipinos.

#explainexplainexplain
#healasone
#dutertelegacy
#comfortablelifeforall
#partnerforchange

*****

disclaimer:

presidential events live streamed by the presidential broadcast staff – radio television malacañang (rtvm) can be accessed by the public and media entities. rtvm is not responsible for any technical problems that affect the live streaming or broadcast quality re-streamed by the aforementioned parties."
148,"uswag, pinas! special edition features the mass vaccination against the coronavirus disease 2019 (covid-19) in tacloban city, leyte – known as the gateway to eastern visayas – as it strives to achieve population protection within the year.

today’s episode also focuses on three (3) medical experts from israel who visited the philippines from june 20 to 25, 2021 in order to help the government in coming up with effective strategies on vaccine deployment, efficient cold chain and logistics practices, and reporting and data management strategies.

derived from the bisayan term ‘uswag’ which means progress, this special edition of the social media program aims to inform viewers about the ongoing vaccination in different communities across the nation, the tireless efforts of healthcare workers and medical frontliners in battling the virus, and interviews from inoculated filipinos and medical experts on the benefits of getting the jab to further boost vaccine confidence amongst the people.

uswag, pinas! special edition is a flagship program of the presidential broadcast staff – radio television malacañang (rtvm).

#uswagpinas
#vacctonormal
#resbakuna
#jabjabjab
#jabwelldone
#goodjab

*****"
