,post
126,"95.3% or 104,847 have recovered from #covid19ph in quezon city. according to the qc epidemiology and disease surveillance unit (cesu), 3,901 were confirmed active cases out of 109,985 total number of positives in the city.

the data from doh goes through validation by cesu, health center staff and barangay officials to ensure that they are residents of qc. the number of cases in the city may change due to community-based testing.

meanwhile, previous covid-19 case updates can still be found on our website: https://quezoncity.gov.ph/covid-19-watch/"
127,"96.7% or 103,681 have recovered from #covid19ph in quezon city. according to the qc epidemiology and disease surveillance unit (cesu), 2,363 were confirmed active cases out of the 107,264 total number of positives in the city.

the data from doh goes through validation by cesu, health center staff and barangay officials to ensure that they are residents of qc. the number of cases in the city may change due to community-based testing.

meanwhile, previous covid-19 case updates can still be found on our website: https://quezoncity.gov.ph/covid-19-watch/"
128,"the quezon city government through the department of building official reminds everyone of the guidelines on construction activities during the implementation of the enhanced community quarantine (ecq) in ncr.

all essential public and private construction projects shall be allowed at full operational capacity, subject to strict compliance with minimum health protocols, and in accordance with the guidelines issued by the department of public works and highways (dpwh).

please be guided accordingly.

for inquiries and clarifications, kindly contact office of the buildingofficial - quezon city’s facebook page, send an email to dbo@quezoncity.gov.ph, or call 8988 4242 local 8905 / 8916."
129,"here is the current state of our hospitals and hope community caring facilities.

if you need a facility for covid-19 mild or asymptomatic patients, contact your barangay and our qc epidemiology and disease surveillance unit (cesu) to be admitted to our hope facilities."
130,"following a thorough investigation, the quezon city government has established that the 51 covid-positive police officers from police station 3 (talipapa) who were deployed during the state of the nation address were not in close contact with other individuals.

qcpd and police station 3 commander lt. col. cristine tabdi said the police officers were assigned as route security and did not directly engage with the public including rallyists.

quezoncity.gov.ph
51 qc cops who tested positive for covid had no contact with public during sona | quezon city government"
131,"fueled by its advocacy to promote the health, nutrition and safety of its residents, employees and beneficiaries, quezon city became the first local government unit (lgu) in the country to establish a healthy food procurement policy.

mayor joy belmonte issued executive order no. 16 s-2021 entitled “quezon city healthy public food procurement policy”, which aims to positively affect the overall health and nutrition of its constituents.

quezoncity.gov.ph
qc first lgu to implement healthy food procurement policy | quezon city government"
132,"live now! | 75th regular session of the 21st city council with vice mayor gian sotto as the presiding officer
Aug. 2, 2021

confirmation of resolutions such as authorizing the city mayor, hon. josefina g. belmonte, to execute and sign the articles of cooperation and by-laws, for and on behalf of the quezon city government, for the establishment of the quezon city credit surety fund cooperative, thereby allowing the city mayor to transfer the initial contribution of the city , in the amount of five million pesos, to the newly created quezon city credit surety fund cooperative, among others, will be discussed today.

vice mayor gian sotto was live.
august 2 at 2:31 pm ·

live now | seventy-fifth of the general meeting of the twenty-first of the city council with vice mayor gian sotto as chairman of the meeting.

second of August 2021 | two o'clock in the afternoon"
133,"the free anti-rabies vaccination of the city veterinary department and our council continues this week.

led by coun. eric medina the vaccination against rabies in brgy. pasong tamo katuwang ang punong barangay at konseho.

more than 200 dogs and cats were vaccinated in our anti-rabies vaccination drive led by coun. tj calalay, in brgy. ns amoranto at brgy paang bundok katuwang si kap ato de guzman at council, at kap. tikyo tiglao and council."
134,"[weather advisory]

expect light to moderate with occasional heavy rainshowers in quezon city and nearby areas within the next 3-4 hours.

roads are slippery and prone to accident. flooding and landslide are possible in certain areas.

all are advised to continue monitoring the latest weather updates issued by pagasa and quezon city drrmo.

for emergency, dial 122 or call qcdrrmo at 8927-5914; 8928-4396.

quezon city disaster risk reduction and management council
july 26 at 3:31 pm ·

quezon city localized thunderstorm advisory #1
date issued: 26-july-2021 (monday)
time issued: 3:30 pm pst

expect light to moderate with occasional heavy rainshowers over quezon city and nearby areas within the next 3-4 hours.

impact assessment:
road are slippery and prone to accident.
flooding and landslide are still possible in certain areas

all are advised to continue monitoring for the latest weather updates issued by pagasa and quezon city drrmo.
for any emergency please contact us through our hotline numbers 8927-5914/8928-4396 or simply dial 122.
pwede niyo rin kaming sundan sa aming official twitter account @quezoncitydrrmo.

#thunderstorm
#staysafeqc
#stayhome
#weatherqc

duty weather forecaster:
jbb
weather observer:
jmj"
135,"to conclude this year’s celebration of nutrition month, the city government headed by mayor joy belmonte led the official turnover of the executive order no. 16 s-2021 entitled “quezon city healthy public food procurement policy” during yesterday’s flag raising ceremony.

the eo aims to enable an environmental and sustainable local food system. it also encourages local sourcing of healthy food while promoting urban agriculture thus creating a positive effect to the overall health and nutrition of its constituents adhering to the qc nutrition standards.

the ceremony was joined by vice mayor gian sotto, city councilors pm vargas and jun ferrer, imagine law project manager atty. mary grace ann rosales sto. domingo, the city’s project partner, and the various departments, offices, and institutions who are instrumental on the implementation of the eo namely: office of the city administration, city health department, environment protection and waste management department, procurement department, sustainable development affairs unit, general services department, small business cooperatives development and promotions office, market development and administration department, barangay and community relations department, rosario maclang bautista general hospital, novaliches district hospital, quezon city general hospital, and social services and development department.

as the first local government unit to implement a healthy food procurement policy, the quezon city government will present said guidelines to the dilg as a model policy on promoting healthy food.

read more about it here: https://quezoncity.gov.ph/qc-first-lgu-to-implement-healthy-food-procurement-policy/"
136,"read: businessworld newspaper released a report on the top cities and provinces when it comes to recorded revenue based on taxes and other fees collected.

in the list, quezon city tops the list of cities. this was achieved by the city due to the solidarity of the business sector and citizens in fulfilling their duty to pay the right bills.

thanks to you!

bworldonline.com
which lgus generated the highest revenue? - businessworld"
137,"the first ""eduk-aksyon mayor's education summit"" will take place on july 29 and 30, 2021 (thursday and friday) which can be watched live here on qc government facebook!

recognize our innovative heroes who participated and helped to ensure the continued learning of our students this past school year 2020-2021!

just follow the qc eduk-action page for more announcements. #ibangklasesaqc

qc education-action
July 26 at 9:00 am ·

watch out for eduk-action: mayor’s education summit this week which will recognize unique education practices launched by our students, teachers, parents, and schools for continuing education in the midst of pandemic.

The summit will also discuss innovative methods by various sectors inside and outside the country to ensure the continued delivery of quality education in the city’s public schools.

watch the live event at these links:

July 29, 2021: https://www.facebook.com/qcgov/posts/621173119270449

July 30, 2021: https://www.facebook.com/qcgov/posts/621798715874556"
138,"focus on qc kabahagi center for children with disabilities for the last and fourth series of our webinar series in celebration of national disability prevention and rehabilitation week.

learn from suselyn pascual, mrs-sp, csp-pasp to learn speech and language simulation guides for children with disabilities.

qc kabahagi center for children with disabilities was live.
July 30 at 9:53 am ·

watch our last and fourth webinar series

#ndpr2021kkk"
139,"live now! | 74th regular session of the 21st city council with vice mayor gian sotto as the presiding officer.
july 27, 2021 | 2:00pm

confirmation of resolutions such as urging the businesses within the territorial jurisdiction of quezon city to provide additional paid time off for the covid-19 vaccination of their employees, among others, will be discussed today.

vice mayor gian sotto was live.
july 27 at 2:22 pm ·

live now | 74th regular session of the 21st city council with vice mayor gian sotto as the presiding officer. july 27, 2021 | 2:00pm"
140,"watch: ""malnutrisyon patuloy na labanan, first 1000 days tutukan!"", the 1st online celebration for the nutrition month brought to us by the early childhood and care development of the qc social services and development department.

eccd qc was live.
july 29 at 9:30 am ·"
